Product Name,Price,Discount,Category,Brand,Rating,Number of Reviews
"Portronics Swipe 2 Screen Cleaner & Duster with Refillable Spray Bottle, Chemical Free for Monitors & Laptop Screen, Smartphones & Tablets(Blue)",199,(50% off),Computer Accessories,Portronics,"4.0 out of 5 stars, rating details",982
"SWAPKART 5-in-1 Cleaning Soft Brush Keyboard Cleaner, Multi-Function Computer Tools Kit Corner Gap Duster Key-Cap Puller for Bluetooth Earphones, Laptop Air-pods & Pro Camera Lens (Random Colour)",199,(60% off),Computer Accessories,SWAPKART,"4.2 out of 5 stars, rating details","1,258"
"Dyazo Ergonomic Mouse Pad, Non-Slip, Anti-Skid, Reversible use, Dual Color, Splash-Proof Suitable for Gaming, Computer, Laptop, Home & Office (Tan and Light Grey 9.8 X 8.2 Inch)",199,(67% off),Computer Accessories,Dyazo,"4.2 out of 5 stars, rating details","1,624"
"Dyazo Ergonomic PU Vegan Leather Mouse Pad, Non-Slip, Anti-Skid, Reversible use, Dual Color, Splash-Proof Suitable for Gaming, Computer, Laptop, Home & Office (-9.8 X 8.2 Inch Blue & Yellow)",199,(67% off),Computer Accessories,Dyazo,"4.2 out of 5 stars, rating details","1,624"
"ZEBRONICS PHERO Wired Gaming Mouse with up to 1600 DPI, Rainbow LED Lights, DPI Switch, High Precision, Plug & Play, 4 Buttons",199,(69% off),Computer Accessories,Zebronics,"4.1 out of 5 stars, rating details","2,039"
"ZEBRONICS HAV01 HDMI to VGA Adapter with Full HD 1080p @ 60Hz Native Resolution, Gold Plated connectors, Plug Play Usage, Strong and Durable Build Quality",199,(72% off),Computer Accessories,Zebronics,"3.9 out of 5 stars, rating details","4,898"
GM 3050 Universal Travel Adaptor: Compatible 3-Pin Multi-Plug International Charging Sockets - White,199,(2% off),Computer Accessories,GM,"4.2 out of 5 stars, rating details","9,889"
"Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter, 3 yrs Warranty (ISI Certified, 1 meter /3.3 Feet)",199,(33% off),Computer Accessories,Gizga,"4.1 out of 5 stars, rating details","11,586"
"Lazy POP Station ZC-3050B Handheld Video Game Console, Puzzle and Brick Games, Multicolor",206,(77% off),Gaming Consoles,Lazy,"2.7 out of 5 stars, rating details",5
"Lapster super Speed HDMI Cable with Ethernet | 4k supporting | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box, Xbox 360, PS5 PS4 (1.5mtr)",209,(79% off),Computer Accessories,Lapster,"4.4 out of 5 stars, rating details",21
"Tukzer Foldable Laptop Stand Riser for Laptop, MacBook, Notebook & Tablets up to 15.6 Inch| Portable- 2 Level Height Adjustable, Ventilation for Cooling, Lightweight Durable ABS Plastic (White)",219,(76% off),Computer Accessories,Tukzer,"4.1 out of 5 stars, rating details","3,110"
"Rainseal Water Game for Kids. Ring Game, Handheld Game, Water Video Game for Kids. Water Console Handheld(Plastic Toys)",219,(78% off),Gaming Consoles,Rainseal,"3.4 out of 5 stars, rating details",45
STRIFF Windows & Office Keyboard Shortcuts Desk Mat | Gaming Mouse Pad Extended Size (800mm x 300mm x 2mm) Stitched Edges| Non-Slip Rubber Base|Computer Laptop|Keyboard Mouse Pad (Keyboard Shortcuts),229,(82% off),Computer Accessories,STRIFF,"4.2 out of 5 stars, rating details",516
STRIFF World Map Extended Size (800 mm x 300 mm x 2 mm) Gaming Mouse Pad| Desk Mat | Stitched Edges| Non-Slip Rubber Base|Computer Laptop|Keyboard Mouse Pad for Office & Home (World Map),229,(82% off),Computer Accessories,STRIFF,"4.3 out of 5 stars, rating details","1,210"
"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",229,(84% off),Computer Accessories,Zebronics,"3.4 out of 5 stars, rating details","2,765"
"GM 3 Pin 6 AMP Universal Multiplug Travel Adapter with 4 Charging Point | Useful for Home Applications, Mobiles, Computers, Laptops | Adaptor with Inbuilt Surge Protector & Power Indicator | GM 3019",229,(41% off),Computer Accessories,GM,"4.4 out of 5 stars, rating details","4,174"
STRIFF Extended Size (800 mm x 300 mm x 2 mm) Gaming Mouse Pad| Stitched Edges| Non-Slip Rubber Base|Computer Laptop|Keyboard Mouse Pad for Office & Home (Universe),229,(82% off),Computer Accessories,STRIFF,"4.4 out of 5 stars, rating details","18,116"
Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,229,(43% off),Computer Accessories,Zebronics,"3.6 out of 5 stars, rating details","41,603"
HP M080 Wired Mouse (AB3C5AA),235,(66% off),Computer Accessories,HP,"3.8 out of 5 stars, rating details","1,257"
"Bestor 4-in-1 USB Hub, 480Mbps High-Speed Multiport Dock with 0.9m Cable, Compatible with PC, Laptops & USB Devices â€“ Black",238,(76% off),Computer Accessories,Bestor,"3.9 out of 5 stars, rating details",43
INOVERA (LABEL) 30 Pieces Wire Organizer Cable Management Clip Desktop Cord Hook with 3M Foam (Transparent),238,(76% off),Computer Accessories,INOVERA,"4.0 out of 5 stars, rating details","1,663"
Veriluxï¿½ USB C Hub Multiport Adapter with 4 USB Ports High Speed 3.0 USB Hub for Laptop USB Type C Hub for Macbook Pro Air C-Type Smartphones USB Extender with Multi USB Port for Laptop Type-C Devices,239,(72% off),Computer Accessories,Veriluxï¿½,"4.0 out of 5 stars, rating details","1,685"
"Sounce 2 in 1 Bluetooth 5.0 Transmitter Receiver | 3.5mm Stereo Audio Adapter with Mic | Portable Design | Driverless Plug and Play | Easy Slide Switch Mode | 50m Range | Compatible with Car, Aux",239,(87% off),Speakers,Sounce,"3.8 out of 5 stars, rating details","4,121"
Nabhu enterprises Toys Villa Pop Station Video Game - Video Game for Kids - Pop Station Brick Game - Best Gift for Kids - Best Video Game for Kids - Portable Mini Electronic Handheld Game Console,239,(37% off),Gaming Consoles,Nabhu,"3.4 out of 5 stars, rating details",45
Conbre 3 Meter High Speed HDMI Cable | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (3 Meter/ 10 Feet),242,(76% off),Computer Accessories,Conbre,"4.1 out of 5 stars, rating details",267
"Portronics DigiBridge HDMI to VGA Converter with 1080p Full HD @ 60 Hz Max Resolution, 16 cm Long Cable, Durable Build Material, Compatible with Laptop & Desktop (White)",249,(75% off),Computer Accessories,Portronics,"3.6 out of 5 stars, rating details",40
